A,Z,E (keV),Sigma (b),k0
1,1,2223.24835(9),           0.3326(7),          1.0000(21)
2,1,   6250.243(3),         0.000519(7),        0.001560(21)
3,2,20520.46,         4.2(12)E-11,          3.2(9)E-11
6,3,    6768.81(4),          0.00151(9),          0.00066(4)
6,3,    7245.91(4),         0.00247(14),          0.00108(6)
6,3,    477.595(3),          0.00153(8),          0.00067(4)
7,3,     980.53(7),         0.00415(13),          0.00181(6)
7,3,    1051.90(7),         0.00414(12),          0.00181(5)
7,3,    2032.30(4),           0.0381(8),           0.0166(4)
9,4,    6809.61(3),           0.0058(5),         0.00195(17)
9,4,  3367.448(25),         0.00285(22),          0.00096(7)
9,4,     547.55(4),        1.09(10)E-05,          3.7(3)E-06
9,4,    2811.68(5),        1.05(12)E-05,          3.5(4)E-06
9,4,    304.24(13),          2.3(5)E-06,         7.7(17)E-07
9,4,    2896.02(4),        1.16(13)E-05,          3.9(4)E-06
9,4,   853.630(12),         0.00208(24),          0.00070(8)
9,4,     631.92(4),          1.8(4)E-05,         6.1(13)E-06
9,4,    219.40(10),          4.5(6)E-06,        1.51(20)E-06
9,4,   5958.85(12),          6.8(8)E-06,          2.3(3)E-06
9,4,    5956.53(3),        1.46(12)E-04,          4.9(4)E-05
9,4,  3443.406(20),          0.00098(7),        0.000330(24)
9,4,  2590.014(19),         0.00191(15),          0.00064(5)
10,5,     4474.5(3),          0.00045(7),        1.26(20)E-04
10,5,   4444.03(11),            0.039(3),           0.0109(8)
10,5,   2533.35(18),          0.0083(12),           0.0023(3)
10,5,   8916.60(19),           0.0077(8),         0.00216(22)
10,5,   4711.18(10),          0.0155(12),           0.0043(3)
10,5,   2296.63(13),          0.0054(12),           0.0015(3)
10,5,  11447.75(14),           0.0028(3),          0.00078(8)
10,5,    7006.75(9),          0.0327(24),           0.0092(7)
10,5,    477.595(3),             716(25),              201(7)
10,5,   6739.67(17),          0.0113(10),           0.0032(3)
12,6,   3089.057(9),         1.65(8)E-05,        4.16(20)E-06
12,6,   4945.301(3),          0.00261(5),        0.000659(13)
12,6,   1261.765(9),          0.00124(3),         0.000313(8)
12,6,   1856.717(9),          6.2(4)E-06,        1.56(10)E-06
12,6,   3683.920(9),          0.00122(3),         0.000308(8)
12,6,    595.015(9),          9.5(4)E-06,        2.40(10)E-06
13,6,   6092.46(17),         2.12(9)E-06,        5.35(23)E-07
13,6,   8174.04(18),         1.09(6)E-05,        2.75(15)E-06
13,6,   1586.91(14),         1.10(6)E-06,        2.78(15)E-07
13,6,   1273.82(13),          6.4(9)E-07,        1.61(23)E-07
13,6,    495.71(17),         1.04(5)E-06,        2.62(13)E-07
13,6,   2082.56(13),          3.2(5)E-07,         8.1(13)E-08
13,6,    808.82(15),          4.7(3)E-07,         1.19(8)E-07
14,7,  3013.482(21),          0.00057(5),        1.23(11)E-04
14,7,     583.59(3),        0.000429(14),          9.3(3)E-05
14,7,   976.996(18),          2.8(9)E-05,         6.1(19)E-06
14,7,  2830.789(17),          0.00134(3),         0.000290(7)
14,7,   10061.85(5),          4.5(8)E-05,         9.7(17)E-06
14,7, 10829.120(12),           0.0113(8),         0.00244(17)
14,7,  1853.922(19),        0.000508(10),       1.099(22)E-04
14,7,  5562.057(13),           0.0084(5),         0.00182(11)
14,7,     908.41(4),         1.27(4)E-04,         2.75(9)E-05
14,7,   3269.41(15),          4.7(8)E-05,        1.02(17)E-05
14,7,  3677.732(13),           0.0115(6),         0.00249(13)
14,7,  4508.731(12),           0.0132(7),         0.00286(15)
14,7,     769.92(4),            8(3)E-06,          1.7(7)E-06
14,7,  5269.159(13),           0.0236(3),          0.00511(7)
14,7,    1612.15(4),         9.5(11)E-05,        2.06(24)E-05
14,7,  5533.395(14),           0.0155(8),         0.00335(17)
14,7,    8568.71(4),          5.4(5)E-05,        1.17(11)E-05
14,7,    9148.98(5),          0.00129(6),        0.000279(13)
14,7,  1988.632(20),        0.000289(16),          6.3(4)E-05
14,7,  1678.281(14),           0.0063(3),          0.00136(7)
14,7,  3531.981(15),           0.0071(4),          0.00154(9)
14,7,    1681.24(5),          0.00129(8),        0.000279(17)
14,7,  1999.690(16),          0.00323(4),         0.000699(9)
14,7,   9756.87(11),          4.4(5)E-05,         9.5(11)E-06
14,7,   2898.31(11),          1.7(4)E-05,          3.7(9)E-06
14,7,   9219.43(11),          1.5(9)E-05,         3.2(19)E-06
14,7,     767.82(5),          5.1(3)E-05,         1.10(7)E-05
14,7,    608.28(12),         2.5(10)E-05,         5.4(22)E-06
14,7,     131.59(7),          1.4(3)E-05,          3.0(7)E-06
14,7,  3884.242(18),        0.000436(13),          9.4(3)E-05
14,7,    3300.79(4),         1.16(8)E-04,        2.51(17)E-05
14,7,   1073.00(11),          6.9(4)E-05,         1.49(9)E-05
14,7,    9046.66(6),        1.59(18)E-04,          3.4(4)E-05
14,7,    3881.29(5),         6.3(13)E-05,          1.4(3)E-05
14,7,  5297.821(15),         0.01680(23),          0.00363(5)
14,7,    2725.47(6),          1.6(4)E-05,          3.5(9)E-06
14,7,    1783.61(6),        1.95(13)E-04,          4.2(3)E-05
14,7,   831.218(17),          3.7(6)E-05,         8.0(13)E-06
14,7,  1024.995(17),        1.26(24)E-05,          2.7(5)E-06
14,7,    2247.30(4),          1.2(3)E-05,          2.6(7)E-06
14,7,  2030.589(19),          5.8(7)E-05,        1.25(15)E-05
14,7,   2293.18(15),          3.6(4)E-05,          7.8(9)E-06
14,7,    9921.36(4),          9.9(8)E-05,        2.14(17)E-05
14,7,  1884.821(16),         0.01470(18),          0.00318(4)
14,7,  9151.937(17),          1.2(3)E-04,          2.6(7)E-05
14,7,   10697.63(7),            8(5)E-06,         1.7(11)E-06
14,7,  6322.428(12),         0.01450(22),          0.00314(5)
14,7,  3855.577(19),        0.000626(16),         1.35(4)E-04
14,7,   1610.75(11),          5.8(6)E-05,        1.25(13)E-05
14,7,      383.0(3),         5.5(24)E-06,          1.2(5)E-06
14,7,    2261.80(4),          6.1(5)E-05,        1.32(11)E-05
14,7,   3923.10(11),          2.9(7)E-05,         6.3(15)E-06
14,7,  7298.983(17),         0.00746(12),          0.00161(3)
14,7,  2001.920(19),          1.9(4)E-04,          4.1(9)E-05
14,7,  8310.161(19),          0.00330(6),        0.000714(13)
14,7,  1011.706(20),         1.08(4)E-04,         2.34(9)E-05
14,7,    4653.95(4),          2.2(5)E-05,         4.8(11)E-06
14,7,  1053.666(16),          1.2(3)E-05,          2.6(7)E-06
14,7,  2520.457(17),         0.00441(24),          0.00095(5)
14,7,  7153.270(16),          5.0(6)E-05,        1.08(13)E-05
16,8,    1087.75(6),         1.58(7)E-04,        2.99(13)E-05
16,8,    2184.42(7),         1.64(7)E-04,        3.11(13)E-05
16,8,    3272.02(8),        3.53(23)E-05,          6.7(4)E-06
16,8,     870.68(6),        1.77(11)E-04,        3.35(21)E-05
17,8,   1938.26(17),          3.4(7)E-08,         6.4(13)E-09
17,8,   1651.61(14),         5.6(11)E-08,        1.06(21)E-08
17,8,   3919.98(14),         6.0(12)E-09,        1.14(23)E-09
17,8,    535.09(17),0.000000002,0.00000000038
17,8,     2946.6(9),          3.8(8)E-08,         7.2(15)E-09
17,8,     3115.4(4),          2.8(6)E-08,         5.3(11)E-09
17,8,    1895.76(6),0.0000000064,0.0000000012
17,8,    2430.68(6),          2.9(6)E-08,         5.5(11)E-09
17,8,   3395.39(14),          1.9(4)E-08,          3.6(8)E-09
17,8,    821.76(15),         5.8(12)E-08,        1.10(23)E-08
17,8,    4369.23(6),0.000000017,0.0000000032
17,8,     1572.6(4),0.0000000022,0.00000000042
17,8,     1542.9(7),0.0000000022,0.00000000042
17,8,     1177.3(6),0.0000000066,0.0000000013
17,8,   1457.36(18),0.000000003,0.00000000057
17,8,    1693.1(10),         5.2(10)E-08,         9.8(19)E-09
17,8,    1981.95(9),          2.0(4)E-07,          3.8(8)E-08
17,8,    2666.4(17),          2.2(4)E-08,          4.2(8)E-09
17,8,     3588.5(8),         7.5(15)E-08,          1.4(3)E-08
17,8,   2473.29(14),          4.2(9)E-08,         8.0(17)E-09
19,9,    2933.55(4),          2.3(3)E-05,          3.7(5)E-06
19,9,   1708.47(15),          2.5(3)E-05,          4.0(5)E-06
19,9,  3891.749(25),          1.8(3)E-05,          2.9(5)E-06
19,9,    2864.65(9),          2.2(4)E-05,          3.5(6)E-06
19,9,    3607.80(6),          2.1(3)E-05,          3.3(5)E-06
19,9,   4954.86(10),          2.1(8)E-05,         3.3(13)E-06
19,9,    2346.18(4),          2.1(4)E-05,          3.3(6)E-06
19,9,    4313.46(5),          1.8(3)E-05,          2.9(5)E-06
19,9,    5318.39(4),          1.9(3)E-05,          3.0(5)E-06
19,9,    2981.26(4),          3.5(5)E-05,          5.6(8)E-06
19,9,    3071.00(9),          2.0(3)E-05,          3.2(5)E-06
19,9,  2602.786(24),          3.5(3)E-05,          5.6(5)E-06
19,9,    1282.15(4),          8.5(5)E-05,         1.36(8)E-05
19,9,  2930.284(21),          8.5(5)E-05,         1.36(8)E-05
19,9,    3679.79(3),          8.7(8)E-05,        1.39(13)E-05
19,9,    2655.70(3),          7.6(6)E-05,        1.21(10)E-05
19,9,  1392.191(23),          8.3(5)E-05,         1.32(8)E-05
19,9,    3025.10(3),          8.4(9)E-05,        1.34(14)E-05
19,9,  2179.091(20),          8.9(6)E-05,        1.42(10)E-05
19,9,    3534.57(6),          1.4(3)E-05,          2.2(5)E-06
19,9,    1970.96(3),          1.0(3)E-05,          1.6(5)E-06
19,9,   583.561(16),         0.00356(12),        0.000568(19)
19,9,    2636.09(3),          9.6(5)E-05,         1.53(8)E-05
19,9,    2920.96(3),          9.6(5)E-05,         1.53(8)E-05
19,9,  2431.084(10),        0.000392(24),          6.3(4)E-05
19,9,    2009.52(6),          4.6(4)E-05,          7.3(6)E-06
19,9,    5554.51(3),          5.1(4)E-05,          8.1(6)E-06
19,9,  2309.929(25),          4.5(3)E-05,          7.2(5)E-06
19,9,    3293.23(4),          3.8(8)E-05,         6.1(13)E-06
19,9,   325.606(24),          4.0(3)E-05,          6.4(5)E-06
19,9,  1187.725(25),          4.5(3)E-05,          7.2(5)E-06
19,9,    4735.16(4),          5.6(4)E-05,          8.9(6)E-06
19,9,    4951.90(3),          6.2(6)E-05,         9.9(10)E-06
19,9,  2043.858(20),          7.0(4)E-05,         1.12(6)E-05
19,9,  1644.538(25),          7.3(6)E-05,        1.16(10)E-05
19,9,    4081.71(3),          5.6(4)E-05,          8.9(6)E-06
19,9,    3741.46(3),          5.7(5)E-05,          9.1(8)E-06
19,9,    3387.58(9),          6.1(5)E-05,          9.7(8)E-06
19,9,   653.144(23),          2.0(3)E-05,          3.2(5)E-06
19,9,  2431.425(19),            7(3)E-05,          1.1(5)E-05
19,9,  3964.872(20),        0.000435(18),          6.9(3)E-05
19,9,    4261.86(4),         3.0(10)E-06,         4.8(16)E-07
19,9,    302.24(21),         5.0(20)E-06,            8(3)E-07
19,9,    2255.83(3),          8.5(5)E-05,         1.36(8)E-05
19,9,  5360.986(21),         1.17(5)E-04,         1.87(8)E-05
19,9,  2349.445(21),          3.1(4)E-05,          4.9(6)E-06
19,9,    1545.76(4),        1.30(21)E-05,          2.1(3)E-06
19,9,     978.19(5),          6.8(6)E-05,        1.08(10)E-05
19,9,     894.02(9),         3.0(10)E-06,         4.8(16)E-07
19,9,    3023.89(3),          3.2(5)E-05,          5.1(8)E-06
19,9,    2232.98(3),          2.1(3)E-05,          3.3(5)E-06
19,9,    2623.16(3),          4.5(3)E-05,          7.2(5)E-06
19,9,    2519.02(3),          6.8(5)E-05,         1.08(8)E-05
19,9,  3973.381(22),          2.4(3)E-05,          3.8(5)E-06
19,9,  5935.179(20),          9.1(8)E-05,        1.45(13)E-05
19,9,   534.600(25),        1.30(20)E-05,          2.1(3)E-06
19,9,   822.700(19),         2.20(9)E-04,        3.51(14)E-05
19,9,  5543.713(10),        0.000407(17),          6.5(3)E-05
19,9,     820.88(9),         5.0(20)E-06,            8(3)E-07
19,9,    4638.99(5),          2.3(4)E-05,          3.7(6)E-06
19,9,  3051.435(20),        0.000297(12),        4.74(19)E-05
19,9,    1318.48(9),        2.34(20)E-05,          3.7(3)E-06
19,9,  3586.186(10),        0.000286(13),        4.56(21)E-05
19,9,  1056.776(17),          0.00095(3),         1.52(5)E-04
19,9,    5282.07(9),         8.0(21)E-06,          1.3(3)E-06
19,9,  1148.077(20),        0.000258(12),        4.12(19)E-05
19,9,    4335.08(4),          4.6(4)E-05,          7.3(6)E-06
19,9,     987.24(3),         4.0(10)E-06,         6.4(16)E-07
19,9,  2504.658(25),          3.8(4)E-05,          6.1(6)E-06
19,9,    691.29(10),         4.0(22)E-06,            6(4)E-07
19,9,   885.095(25),         5.0(10)E-06,         8.0(16)E-07
19,9,   2698.32(15),         4.0(10)E-06,         6.4(16)E-07
19,9,  4556.817(20),        0.000517(23),          8.2(4)E-05
19,9,   620.431(23),        2.37(18)E-05,          3.8(3)E-06
19,9,    2229.75(9),          5.3(5)E-05,          8.5(8)E-06
19,9,   3894.70(10),          1.2(3)E-05,          1.9(5)E-06
19,9,    3220.00(3),          6.1(4)E-05,          9.7(6)E-06
19,9,    4009.55(4),          1.0(3)E-05,          1.6(5)E-06
19,9,    2038.07(3),        1.50(23)E-05,          2.4(4)E-06
19,9,   983.538(20),          0.00116(4),         1.85(6)E-04
19,9,      791.2(3),         4.0(10)E-06,         6.4(16)E-07
19,9,     771.79(3),          1.5(4)E-05,          2.4(6)E-06
19,9,    2052.60(3),         5.0(10)E-06,         8.0(16)E-07
19,9,   2188.00(14),        1.30(21)E-05,          2.1(3)E-06
19,9,    1935.52(3),          7.3(5)E-05,         1.16(8)E-05
19,9,    3074.78(3),         1.86(8)E-04,        2.97(13)E-05
19,9,    2370.83(3),         8.0(22)E-06,          1.3(4)E-06
19,9,    4245.68(3),          9.5(5)E-05,         1.52(8)E-05
19,9,    2969.80(3),          1.6(3)E-05,          2.6(5)E-06
19,9,    2337.47(3),          1.4(3)E-05,          2.2(5)E-06
19,9,    4091.90(3),          1.7(3)E-05,          2.7(5)E-06
19,9,   2352.40(10),          1.7(3)E-05,          2.7(5)E-06
19,9,    3152.64(9),          1.4(3)E-05,          2.2(5)E-06
19,9,    3711.19(3),          1.2(3)E-05,          1.9(5)E-06
19,9,   5938.13(10),          1.1(5)E-05,          1.8(8)E-06
19,9,   1135.47(15),        1.08(20)E-05,          1.7(3)E-06
19,9,  5033.530(23),          0.00063(3),         1.00(5)E-04
19,9,    793.35(14),         7.0(20)E-06,          1.1(3)E-06
19,9,  2965.854(22),          9.3(5)E-05,         1.48(8)E-05
19,9,  2529.212(18),          0.00061(3),          9.7(5)E-05
19,9,    3589.45(3),         1.79(8)E-04,        2.86(13)E-05
19,9,   1306.22(15),         9.0(21)E-06,          1.4(3)E-06
19,9,  2529.553(18),            9(3)E-05,          1.4(5)E-05
19,9,  3112.693(18),         2.36(9)E-04,        3.76(14)E-05
19,9,  4708.007(20),          5.1(4)E-05,          8.1(6)E-06
19,9,    4225.53(9),         6.0(11)E-06,         9.6(18)E-07
19,9,  1742.670(25),         6.0(20)E-06,          1.0(3)E-06
19,9,   656.006(18),          0.00197(7),        0.000314(11)
19,9,   665.207(18),          0.00149(6),        2.38(10)E-04
19,9,    1853.88(3),        1.30(22)E-05,          2.1(4)E-06
19,9,  1843.688(20),        0.000600(23),          9.6(4)E-05
19,9,  1387.901(20),          0.00082(3),         1.31(5)E-04
19,9,  1309.126(17),          0.00076(3),         1.21(5)E-04
19,9,  6600.175(16),          0.00096(3),         1.53(5)E-04
19,9,  3488.064(18),          0.00073(3),         1.16(5)E-04
19,9,  6016.802(16),          0.00094(4),         1.50(6)E-04
19,9,  5616.933(23),         1.41(8)E-04,        2.25(13)E-05
19,9,  1371.520(24),         1.44(7)E-04,        2.30(11)E-05
19,9,  2447.574(21),         1.44(7)E-04,        2.30(11)E-05
19,9,  5279.360(20),        0.000421(20),          6.7(3)E-05
19,9,  1970.726(20),          8.5(6)E-05,        1.36(10)E-05
19,9,    2469.34(3),         1.94(9)E-04,        3.09(14)E-05
19,9,   252.364(21),         8.0(20)E-06,          1.3(3)E-06
19,9,    1045.98(3),         1.79(8)E-04,        2.86(13)E-05
19,9,    3098.33(3),         7.0(21)E-06,          1.1(3)E-06
19,9,    5622.28(5),         8.0(21)E-06,          1.3(3)E-06
19,9,  4960.307(19),          2.7(4)E-05,          4.3(6)E-06
19,9,  4173.527(23),         1.66(7)E-04,        2.65(11)E-05
19,9,   166.700(20),        0.000413(18),          6.6(3)E-05
19,9,  3014.568(10),        0.000405(15),        6.46(24)E-05
19,9,    2121.16(4),        1.51(19)E-05,          2.4(3)E-06
19,9,    2079.75(4),        1.10(20)E-05,          1.8(3)E-06
19,9,    662.25(10),        1.02(15)E-04,        1.63(24)E-05
19,9,    4200.68(4),         1.11(6)E-04,        1.77(10)E-05
19,9,  4878.680(22),         9.0(20)E-06,          1.4(3)E-06
19,9,    2324.12(3),         1.18(5)E-04,         1.88(8)E-05
19,9,  1542.498(20),        0.000271(11),        4.32(18)E-05
19,9,  3823.093(24),         1.07(6)E-04,        1.71(10)E-05
19,9,   4094.85(10),         5.1(17)E-05,            8(3)E-06
19,9,    2042.04(9),         5.0(20)E-06,            8(3)E-07
19,9,     1375.2(4),         5.0(20)E-06,            8(3)E-07
19,9,     556.40(4),         2.01(8)E-04,        3.21(13)E-05
19,9,  4626.378(22),         8.0(20)E-06,          1.3(3)E-06
19,9,    2208.72(9),         2.0(10)E-06,         3.2(16)E-07
19,9,  2194.159(21),         1.32(6)E-04,        2.11(10)E-05
19,9,    1021.06(9),         3.0(10)E-06,         4.8(16)E-07
19,9,     670.57(9),         3.0(10)E-06,         4.8(16)E-07
19,9,    3475.05(4),         5.0(11)E-06,         8.0(18)E-07
19,9,    1555.63(9),         5.0(10)E-06,         8.0(16)E-07
19,9,  4756.957(23),         1.86(9)E-04,        2.97(14)E-05
19,9,    2427.82(3),         1.89(8)E-04,        3.01(13)E-05
19,9,   734.783(24),         6.0(20)E-06,          1.0(3)E-06
19,9,    3578.82(5),         9.0(21)E-06,          1.4(3)E-06
19,9,   4069.64(15),         7.0(21)E-06,          1.1(3)E-06
19,9,    4898.68(3),         7.0(20)E-06,          1.1(3)E-06
19,9,    2458.24(4),         6.0(10)E-06,         9.6(16)E-07
19,9,  4046.504(23),         6.0(16)E-05,          1.0(3)E-05
19,9,   2600.79(17),         4.0(20)E-06,            6(3)E-07
19,9,    2690.27(9),         6.0(11)E-06,         9.6(18)E-07
19,9,  2143.248(21),         1.95(8)E-04,        3.11(13)E-05
19,9,  4629.938(22),         6.0(10)E-06,         9.6(16)E-07
19,9,    1836.29(4),        1.61(19)E-05,          2.6(3)E-06
19,9,    2556.37(4),          1.6(3)E-05,          2.6(5)E-06
19,9,   661.647(21),        2.24(14)E-04,        3.57(22)E-05
19,9,  5291.420(19),        2.35(11)E-04,        3.75(18)E-05
20,10,    5688.97(6),          0.00214(3),         0.000321(5)
20,10,   2077.23(20),        2.05(25)E-04,          3.1(4)E-05
20,10,     768.55(7),          2.5(4)E-04,          3.8(6)E-05
20,10,   1890.40(20),         3.6(11)E-06,         5.4(17)E-07
20,10,   3971.98(15),          0.00039(3),          5.9(5)E-05
20,10,    4374.13(6),         0.01910(22),          0.00287(3)
20,10,    6760.06(6),        0.002100(25),         0.000315(4)
20,10,     874.8(13),         4.0(14)E-05,         6.0(21)E-06
20,10,   2895.32(10),          0.00252(7),        0.000378(11)
20,10,   4725.10(25),          5.0(7)E-05,         7.5(11)E-06
20,10,   3311.92(25),         6.1(18)E-05,            9(3)E-06
20,10,     964.41(7),         0.00029(11),         4.4(17)E-05
20,10,   2788.63(14),         7.2(18)E-05,          1.1(3)E-05
20,10,   5991.71(13),        1.58(11)E-04,        2.37(17)E-05
20,10,   2035.67(20),          0.0245(25),           0.0037(4)
20,10,   4683.62(25),         9.0(11)E-05,        1.35(17)E-05
20,10,    1931.08(6),         0.00591(22),          0.00089(3)
20,10,     350.72(6),           0.0198(4),          0.00297(6)
20,10,   3097.25(10),         8.3(22)E-05,          1.2(3)E-05
20,10,   3966.51(25),        1.40(22)E-04,          2.1(3)E-05
20,10,   2437.84(25),          0.00036(7),         5.4(11)E-05
20,10,    1071.34(7),           0.0054(4),          0.00081(6)
20,10,    2793.94(5),         0.00900(11),        0.001352(17)
20,10,   4333.19(25),        1.15(14)E-04,        1.73(21)E-05
20,10,     869.5(11),         6.8(22)E-06,          1.0(3)E-06
20,10,   5641.00(25),          8.6(7)E-05,        1.29(11)E-05
20,10,   6409.39(12),         1.8(11)E-04,         2.7(17)E-05
21,10,     4248.2(6),          1.3(4)E-05,          2.0(6)E-06
21,10,    3181.8(16),         0.00048(12),         7.2(18)E-05
21,10,4634.83,         0.00042(11),         6.3(17)E-05
21,10,     4840.1(5),         0.00038(10),         5.7(15)E-05
21,10,     9087.3(5),          0.00028(7),         4.2(11)E-05
21,10,     4018.3(5),         0.00090(23),          1.4(4)E-04
21,10,   1274.542(7),           0.0018(5),          0.00027(8)
21,10,     2082.5(4),           0.0011(3),          1.7(5)E-04
21,10,     2165.9(7),         0.00084(21),          1.3(3)E-04
21,10,    4456.0(10),         1.5(10)E-05,         2.3(15)E-06
21,10,     2987.8(5),         0.00086(22),          1.3(3)E-04
22,10,   1017.00(20),           0.0030(5),          0.00045(8)
22,10,   2819.22(16),          0.00052(5),          7.8(8)E-05
22,10,     1398.1(3),            9(4)E-05,          1.4(6)E-05
22,10,   1822.40(20),          0.00052(5),          7.8(8)E-05
22,10,    1979.89(6),         0.00306(17),          0.00046(3)
22,10,   3220.42(16),         0.00057(23),            9(4)E-05
22,10,     2013.8(4),          0.00040(5),          6.0(8)E-05
22,10,    2203.58(6),         0.00238(23),          0.00036(4)
22,10,     1364.8(3),         0.00091(12),        1.37(18)E-04
22,10,   4183.20(25),          1.2(5)E-04,          1.8(8)E-05
23,11,  3981.450(25),          0.0677(11),         0.00892(15)
23,11,    4890.73(5),          0.00153(9),        2.02(12)E-04
23,11,    2270.07(3),          1.6(4)E-04,          2.1(5)E-05
23,11,    2337.84(7),          0.00086(6),         1.13(8)E-04
23,11,   2588.94(20),          0.00131(4),         1.73(5)E-04
23,11,  4725.713(19),         0.00053(10),         7.0(13)E-05
23,11,  5614.239(18),            0.005(3),           0.0007(4)
23,11,    3744.82(4),        1.77(21)E-04,          2.3(3)E-05
23,11,    3627.90(7),          0.00080(7),         1.05(9)E-04
23,11,     552.51(4),          0.00067(8),         8.8(11)E-05
23,11,   4521.11(13),         7.8(13)E-05,        1.03(17)E-05
23,11,    4137.25(5),          0.00077(6),         1.02(8)E-04
23,11,  5445.452(25),          0.00077(4),         1.02(5)E-04
23,11,  4586.970(23),          0.00072(4),          9.5(5)E-05
23,11,   2701.56(11),        1.72(22)E-04,          2.3(3)E-05
23,11,  4055.265(24),           0.0020(6),          0.00026(8)
23,11,    2790.03(4),          0.00054(8),         7.1(11)E-05
23,11,    2555.99(3),          0.00052(9),         6.9(12)E-05
23,11,  5774.660(18),          0.00116(7),         1.53(9)E-04
23,11,    3343.28(6),          0.00096(6),         1.27(8)E-04
23,11,  3734.632(20),          0.00037(3),          4.9(4)E-05
23,11,    3303.44(5),          0.00114(5),         1.50(7)E-04
23,11,    3198.84(3),          0.00099(5),         1.31(7)E-04
23,11,   4244.79(11),         7.3(11)E-05,         9.6(15)E-06
