Z, Symbol, Atomic Weight (u)
1 , H    , 1.00794(7)      
2 , He   , 4.002602(2)     
3 , Li   , 6.941(2)        
4 , Be   , 9.012182(3)     
5 , B    , 10.811(7)       
6 , C    , 12.0107(8)      
7 , N    , 14.0067(2)      
8 , O    , 15.9994(3)      
9 , F    , 18.9984032(5)   
10 , Ne   , 20.1797(6)      
11 , Na   , 22.989770(2)    
12 , Mg   , 24.3050(6)      
13 , Al   , 26.981538(2)    
14 , Si   , 28.0855(3)      
15 , P    , 30.973761(2)    
16 , S    , 32.065(5)       
17 , Cl   , 35.453(2)       
18 , Ar   , 39.948(1)       
19 , K    , 39.0983(1)      
20 , Ca   , 40.078(4)       
21 , Sc   , 44.955910(8)    
22 , Ti   , 47.867(1)       
23 , V    , 50.9415(1)      
24 , Cr   , 51.9961(6)      
25 , Mn   , 54.938049(9)    
26 , Fe   , 55.845(2)       
27 , Co   , 58.933200(9)    
28 , Ni   , 58.6934(2)      
29 , Cu   , 63.546(3)       
30 , Zn   , 65.409(4)       
31 , Ga   , 69.723(1)       
32 , Ge   , 72.64(1)        
33 , As   , 74.92160(2)     
34 , Se   , 78.96(3)        
35 , Br   , 79.904(1)       
36 , Kr   , 83.798(2)       
37 , Rb   , 85.4678(3)      
38 , Sr   , 87.62(1)        
39 , Y    , 88.90585(2)     
40 , Zr   , 91.224(2)       
41 , Nb   , 92.90638(2)     
42 , Mo   , 95.94(2)        
43 , Tc   , [98]            
44 , Ru   , 101.07(2)       
45 , Rh   , 102.90550(2)    
46 , Pd   , 106.42(1)       
47 , Ag   , 107.8682(2)     
48 , Cd   , 112.411(8)      
49 , In   , 114.818(3)      
50 , Sn   , 118.710(7)      
51 , Sb   , 121.760(1)      
52 , Te   , 127.60(3)       
53 , I    , 126.90447(3)    
54 , Xe   , 131.293(6)      
55 , Cs   , 132.90545(2)    
56 , Ba   , 137.327(7)      
57 , La   , 138.9055(2)     
58 , Ce   , 140.116(1)      
59 , Pr   , 140.90765(2)    
60 , Nd   , 144.24(3)       
61 , Pm   , [145]           
62 , Sm   , 150.36(3)       
63 , Eu   , 151.964(1)      
64 , Gd   , 157.25(3)       
65 , Tb   , 158.92534(2)    
66 , Dy   , 162.500(1)      
67 , Ho   , 164.93032(2)    
68 , Er   , 167.259(3)      
69 , Tm   , 168.93421(2)    
70 , Yb   , 173.04(3)       
71 , Lu   , 174.967(1)      
72 , Hf   , 178.49(2)       
73 , Ta   , 180.9479(1)     
74 , W    , 183.84(1)       
75 , Re   , 186.207(1)      
76 , Os   , 190.23(3)       
77 , Ir   , 192.217(3)      
78 , Pt   , 195.078(2)      
79 , Au   , 196.96655(2)    
80 , Hg   , 200.59(2)       
81 , Tl   , 204.3833(2)     
82 , Pb   , 207.2(1)        
83 , Bi   , 208.98038(2)    
84 , Po   , [209]           
85 , At   , [210]           
86 , Rn   , [222]           
87 , Fr   , [223]           
88 , Ra   , [226]           
89 , Ac   , [227]           
90 , Th   , 232.0381(1)     
91 , Pa   , 231.03588(2)    
92 , U    , 238.02891(3)    
93 , Np   , [237]           
94 , Pu   , [244]           
95 , Am   , [243]           
96 , Cm   , [247]           
97 , Bk   , [247]           
98 , Cf   , [251]           
99 , Es   , [252]           
100 , Fm   , [257]           
101 , Md   , [258]           
102 , No   , [259]           
103 , Lr   , [262]           
104 , Rf   , [261]           
105 , Db   , [262]           
106 , Sg   , [266]           
107 , Bh   , [264]           
108 , Hs   , [277]           
109 , Mt   , [268]           
110 , Uun  , [281]           
111 , Uuu  , [272]           
112 , Uub  , [285]           
112 ,      ,              
114 , Uuq  , [289]           
114 ,      ,              
116 , Uuh  , [292]           
