Z,A,Abundance(%),rel. Atomic Mass(u),σ(b)
1,1,  99.9885(70)    ,  1.0078250321(4)     , 0.3326(7)
1,2,  0.0115(70)    ,  2.0141017780(4)     , 0.000519(7)
1,3,                ,  3.0160492675(11)    ,
1,4,                ,  4.02783(12)         ,
1,5,                ,  5.03954(102)        ,
1,6,                ,  6.04494(28)         ,
2,3,  0.000137(3)    ,  3.0160293097(9)     , 0.000031(9)
2,4,  99.999863(3)  ,  4.0026032497(10)    ,
2,5,                ,  5.012220(50)        ,
2,6,                ,  6.0188881(11)       ,
2,7,                ,  7.028030(30)        ,
2,8,                ,  8.033922(8)         ,
2,9,                ,  9.043820(70)        ,
2,10,                ,  10.052400(80)       ,
3,4,                 ,  4.02718(23)         ,
3,5,                ,  5.012540(50)        ,
3,6,  7.59(4)       ,  6.0151223(5)        , 0.039(4)
3,7,  92.41(4)      ,  7.0160040(5)        , 0.045(3)
3,8,                ,  8.0224867(5)        ,
3,9,                ,  9.0267891(21)       ,
3,10,                ,  10.035481(16)       ,
3,11,                ,  11.043796(29)       ,
3,12,                ,  12.05378(107)      ,
4,5,                 ,  5.04079(429)       ,
4,6,                ,  6.019726(6)         ,
4,7,                ,  7.0169292(5)        ,
4,8,                ,  8.00530509(4)       ,
4,9,100,  9.0121821(4)        , 0.0088(4)
4,10,                ,  10.0135337(4)       ,
4,11,                ,  11.021658(7)        ,
4,12,                ,  12.026921(16)       ,
4,13,                ,  13.03613(54)        ,
4,14,                ,  14.04282(12)        ,
5,7,                 ,  7.029920(80)        ,
5,8,                ,  8.0246067(12)       ,
5,9,                ,  9.0133288(11)       ,
5,10,  19.9(7)       ,  10.0129370(4)       , 0.5(1)
5,11,  80.1(7)       ,  11.0093055(5)       , 0.005(3)
5,12,                ,  12.0143521(15)      ,
5,13,                ,  13.0177803(12)      ,
5,14,                ,  14.025404(23)       ,
5,15,                ,  15.031097(24)       ,
5,16,                ,  16.039810(60)       ,
5,17,                ,  17.04693(15)        ,
5,18,                ,  18.05617(86)       ,
5,19,                ,  19.06373(43)       ,
6,8,                 ,  8.037675(25)        ,
6,9,                ,  9.0310401(23)       ,
6,10,                ,  10.0168531(4)       ,
6,11,                ,  11.0114338(10)      ,
6,12,  98.93(8)      ,  12.0000000(0)       , 0.00353(5)
6,13,  1.07(8)       ,  13.0033548378(10)   , 0.00137(4)
6,14,                ,  14.003241988(4)     ,
6,15,                ,  15.0105993(9)       ,
6,16,                ,  16.014701(4)        ,
6,17,                ,  17.022584(19)       ,
6,18,                ,  18.026760(30)       ,
6,19,                ,  19.03525(12)        ,
6,20,                ,  20.04032(22)        ,
6,21,                ,  21.04934(54)       ,
6,22,                ,  22.05645(97)       ,
7,10,                 ,  10.04262(43)       ,
7,11,                ,  11.02680(19)        ,
7,12,                ,  12.0186132(11)      ,
7,13,                ,  13.00573858(29)     ,
7,14,  99.632(7)     ,  14.0030740052(9)    , 0.0798(14)
7,15,  0.368(7)      ,  15.0001088984(9)    , 0.000024(8)
7,16,                ,  16.0061014(28)      ,
7,17,                ,  17.008450(16)       ,
7,18,                ,  18.014082(21)       ,
7,19,                ,  19.017027(18)       ,
7,20,                ,  20.023370(60)       ,
7,21,                ,  21.02709(10)        ,
7,22,                ,  22.03444(21)        ,
7,23,                ,  23.04051(76)       ,
7,24,                ,  24.05050(54)       ,
8,12,                 ,  12.034405(20)       ,
8,13,                ,  13.024810(10)       ,
8,14,                ,  14.00859529(8)      ,
8,15,                ,  15.0030654(5)       ,
8,16,  99.757(16)    ,  15.9949146221(15)   , 0.000190(19)
8,17,  0.038(1)      ,  16.99913150(22)     , 0.00054(7)
8,18,  0.205(14)     ,  17.9991604(9)       , 0.00016(1)
8,19,                ,  19.003579(3)        ,
8,20,                ,  20.0040762(13)      ,
8,21,                ,  21.008655(13)       ,
8,22,                ,  22.009970(60)       ,
8,23,                ,  23.01569(11)        ,
8,24,                ,  24.02037(33)        ,
8,25,                ,  25.02914(40)       ,
8,26,                ,  26.03775(46)       ,
9,14,                 ,  14.03608(43)       ,
9,15,                ,  15.01801(14)        ,
9,16,                ,  16.011466(9)        ,
9,17,                ,  17.00209524(27)     ,
9,18,                ,  18.0009377(6)       ,
9,19,100,  18.99840320(7)      , 0.0096(5)
9,20,                ,  19.99998132(9)      ,
9,21,                ,  20.9999489(19)      ,
9,22,                ,  22.002999(13)       ,
9,23,                ,  23.003570(90)       ,
9,24,                ,  24.008100(70)       ,
9,25,                ,  25.012090(80)       ,
9,26,                ,  26.01963(13)        ,
9,27,                ,  27.02689(45)        ,
9,28,                ,  28.03567(55)       ,
9,29,                ,  29.04326(62)       ,
10,16,                 ,  16.025757(22)       ,
10,17,                ,  17.017700(50)       ,
10,18,                ,  18.0056971(16)      ,
10,19,                ,  19.0018798(6)       ,
10,20,  90.48(3)      ,  19.9924401759(20)   , 0.037(4)
10,21,  0.27(1)       ,  20.99384674(4)      , 0.67(11)
10,22,  9.25(3)       ,  21.99138551(23)     , 0.045(6)
10,23,                ,  22.99446734(26)     ,
10,24,                ,  23.993615(11)       ,
10,25,                ,  24.997790(50)       ,
10,26,                ,  26.000460(60)       ,
10,27,                ,  27.00762(10)        ,
10,28,                ,  28.01211(12)        ,
10,29,                ,  29.01935(32)        ,
10,30,                ,  30.02387(88)        ,
10,31,                ,  31.03311(97)       ,
10,32,                ,  32.03991(94)       ,
11,18,                 ,  18.02718(43)       ,
11,19,                ,  19.013879(13)       ,
11,20,                ,  20.007348(7)        ,
11,21,                ,  20.9976551(8)       ,
11,22,                ,  21.9944368(5)       ,
11,23,100,  22.98976967(23)     , 0.530(5)
11,24,                ,  23.99096333(23)     ,
11,25,                ,  24.9899544(13)      ,
11,26,                ,  25.992590(15)       ,
11,27,                ,  26.994010(40)       ,
11,28,                ,  27.998890(80)       ,
11,29,                ,  29.00281(10)        ,
11,30,                ,  30.00923(10)        ,
11,31,                ,  31.01360(18)        ,
11,32,                ,  32.01965(52)        ,
11,33,                ,  33.02739(160)       ,
11,34,                ,  34.03490(113)      ,
11,35,                ,  35.04418(166)      ,
12,20,                 ,  20.018863(29)       ,
12,21,                ,  21.011714(18)       ,
12,22,                ,  21.9995741(15)      ,
12,23,                ,  22.9941249(13)      ,
