Z,A,E (keV),ΔE (keV),Sigma,ΔSigma (b),Intensity (%),T1/2 (s)
1,1,2223.259,0.019,0.3326,0.00069846,100,
1,2,6250.204,0.098,0.000492,0.0000246,0.14792543595911,
3,6,477.586,0.05,0.00139914760268373,0.0000831665703574153,3.51544623789881,
3,7,980.559,0.046,0.00436455593359615,0.000221868793584768,10.9662209386838,
3,7,1051.817,0.048,0.004364193919265,0.000224558124988172,10.9653113549372,
3,7,2032.31,0.07,0.0398,0.00199965367474388,100,
3,6,6769.633,0.263,0.00135405595157486,0.0000884962994208189,3.40215063209763,
3,6,7246.8,0.275,0.00210565108762846,0.000177283962631367,5.29058062218206,
4,9,853.631,0.011,0.00165,0.000146955195190055,26.6942144935999,
4,9,2590.014,0.025,0.00187978836300315,0.000167692671412152,30.4118022815631,
4,9,3367.484,0.035,0.00292377039784751,0.000260847520366616,47.3016691698057,
4,9,3443.421,0.036,0.000992640746493353,0.0000887506205656606,16.0592515163519,
4,9,5956.602,0.092,0.000145619805839116,0.0000133142451013479,2.35588262520347,
4,9,6809.579,0.099,0.00618111463963699,0.000554516431195459,100,
5,10,477.6,5,712.5,2.28,100,
6,12,1261.708,0.057,0.00123,0.0000332285672945797,45.5782868584171,
6,12,3684.016,0.069,0.00117469465698871,0.0000412589644760059,43.5289187376272,
6,12,4945.302,0.066,0.00269865342640199,0.0000789036080289846,100,
7,14,583.567,0.031,0.00042873194529041,0.0000139919019540655,1.80575222032218,
7,14,1678.244,0.029,0.00625423388295059,0.0000943774960954751,26.341859627237,
7,14,1681.174,0.043,0.00129630015248235,0.0000350654787432617,5.45981446976943,
7,14,1853.944,0.052,0.000474269522545014,0.0000214392492899263,1.99754940767638,
7,14,1884.853,0.031,0.0145,0.00018145929468809,61.0717430373324,
7,14,1988.532,0.077,0.000293678249452417,0.000017015854099771,1.23692707491115,
7,14,1999.693,0.032,0.00320829470566074,0.00005341131021283,13.5128379208377,
7,14,2520.446,0.039,0.00424620794329603,0.0000778927768849831,17.8843669238658,
7,14,2830.8,0.048,0.00133087114191619,0.0000349746272095156,5.60542209620046,
7,14,3013.631,0.061,0.000642087546717931,0.0000241354576340031,2.70437280418129,
7,14,3531.98,0.051,0.00685702197076322,0.000122964284773584,28.880709227572,
7,14,3677.802,0.05,0.0113593643053071,0.000151342396726194,47.8438743393903,
7,14,3855.552,0.08,0.000605968259568457,0.0000229013615821686,2.55224398876858,
7,14,3884.353,0.106,0.000423977732100464,0.0000180574148516724,1.78572821437176,
7,14,4508.687,0.063,0.0128621810048764,0.000210800794957623,54.1735043606533,
7,14,5268.984,0.072,0.0237425678044531,0.000359245981410281,100,
7,14,5297.662,0.153,0.0167283022219075,0.000262660871274098,70.4570051549773,
7,14,5533.251,0.076,0.0156771230560996,0.000248485398328792,66.0296021273622,
7,14,5561.948,0.078,0.00862667374670507,0.000153053283477632,36.334207056943,
7,14,6322.301,0.088,0.0148992432997499,0.000259984368039617,62.7532936726222,
7,14,7298.901,0.104,0.00771560466568798,0.000164927587049797,32.4969258979683,
7,14,8310.171,0.128,0.0033605116820019,0.0000934087009757033,14.1539521322189,
7,14,9149.235,0.173,0.00132999329765839,0.0000608453592550331,5.60172475282536,
7,14,10829.102,0.208,0.010663810808279,0.000373818452169338,44.914311274617,
8,16,870.682,0.034,0.000175,0.0000108471770521182,99.7948016415868,
8,16,1087.714,0.031,0.000150651130911583,0.00000942864277775047,85.9097127222982,
8,16,2184.381,0.039,0.00015,0.0000093554796777076,100,
8,16,3272.109,0.069,0.0000352758738862234,0.0000024986178130953,20.1162790697674,
9,19,166.611,0.028,0.000405064331282584,0.0000195962288357748,4.21830849249674,
9,19,583.493,0.022,0.00352408353563002,0.000152844551840506,36.699532292922,
9,19,655.942,0.022,0.00196372894924623,0.0000851364051594903,20.4501207927592,
9,19,665.137,0.023,0.00149783102763477,0.0000665229520067992,15.5982960143411,
9,19,983.467,0.025,0.00117445185092488,0.0000526298185158111,12.2306503786648,
9,19,1056.703,0.026,0.000961408504547615,0.0000434830269640071,10.0120335124313,
9,19,1148.019,0.048,0.000251733617826358,0.0000155203092255134,2.62153434878237,
9,19,1309.12,0.034,0.000761520191031842,0.0000382815194985675,7.93041213692141,
9,19,1387.821,0.033,0.000794174021595617,0.0000390313888430367,8.2704665928237,
9,19,1542.472,0.052,0.000265050774984539,0.0000167446976285695,2.7602181893427,
9,20,1633.602,0.015,0.00960252982926892,0.00041374804705512,100,11
9,19,1843.681,0.043,0.000587259948367937,0.0000313204316057415,6.11567950122834,
9,19,2431.041,0.071,0.00041317038303273,0.0000258050845041521,4.30272428598315,
9,19,2529.209,0.055,0.000647047519479698,0.0000353727310022655,6.73830262424668,
9,19,3014.608,0.074,0.00040651749366116,0.0000251053755670678,4.23344161266833,
9,19,3051.561,0.097,0.00030117913171599,0.0000234348846865411,3.13645609095618,
9,19,3488.15,0.075,0.000774369992434885,0.0000450649874023515,8.06422897093818,
9,19,3586.227,0.135,0.000257476369453774,0.0000307375944523421,2.68133891830229,
9,19,3964.852,0.096,0.000386788118891839,0.0000260178144548404,4.02798143581801,
9,19,4556.896,0.11,0.000436140188828012,0.0000325611902341112,4.54193005991648,
9,19,5033.534,0.113,0.000697460895273859,0.0000443579406741729,7.26330360513922,
9,19,5279.425,0.125,0.000424337823802779,0.0000379234615280444,4.41902114700419,
9,19,5543.696,0.129,0.000391739799733867,0.0000421050634208784,4.07954785560601,
9,19,6017.04,0.11,0.000942753916353872,0.0000637228761733335,9.81776607952123,
9,19,6600.386,0.11,0.000985236834892877,0.0000508972822449407,10.2601798943632,
11,23,90.979,0.016,0.234523771705279,0.00315177355067965,45.0943590060711,
11,23,472.222,0.013,0.478,0.00393022524076444,91.9101012582633,
11,23,499.374,0.018,0.0142644245380581,0.000265252125910485,2.74277134661877,
11,23,781.369,0.025,0.0175188261570645,0.000455520873787283,3.36852946866466,
11,23,869.221,0.017,0.108244351901189,0.00133203469333515,20.8132831461787,
11,23,874.399,0.018,0.0758569384741581,0.00106053617697591,14.5858135905894,
11,23,1344.517,0.031,0.0216863260232109,0.000503120400055676,4.16985862073855,
11,24,1368.633,0.006,0.520073412449891,0.00822886026945593,100,53852
11,23,1636.234,0.037,0.0249983831402146,0.00065213471697405,4.80670277345186,
11,23,2025.15,0.045,0.0337561085283646,0.000914085428319761,6.49064299775505,
11,23,2030.153,0.051,0.0213141132303382,0.000742423961678726,4.09828934148635,
11,23,2208.273,0.048,0.0253988546951309,0.000688247615372455,4.88370566291505,
11,23,2414.441,0.068,0.0236317320156843,0.000484687368762779,4.54392234826294,
11,23,2505.329,0.058,0.0164628401842335,0.000510183039609377,3.16548390864332,
11,23,2517.591,0.047,0.0694920174641308,0.00111291675432153,13.3619630999357,
11,23,2752.269,0.07,0.0654097646460054,0.00122672455567515,12.5770252968484,
11,23,2754.129,0.063,0.0748705533513754,0.00133670619608272,14.3961509200567,
11,23,2808.264,0.062,0.0157613759383337,0.000581112302567004,3.03060598004562,
11,23,2860.196,0.06,0.0175845895139491,0.000512058923506665,3.38117448287042,
11,23,3096.601,0.084,0.0190962274216072,0.000538810771135906,3.67183304596389,
11,23,3587.311,0.07,0.0595514112676533,0.00124442032496365,11.4505779072856,
11,23,3877.9,0.085,0.0220229532601652,0.000669007006062231,4.23458548984892,
11,23,3981.152,0.077,0.0677811268796978,0.00119173215407807,13.0329921232473,
11,23,5616.539,0.138,0.0220362807952804,0.000935386382959898,4.23714811558525,
11,23,6395.048,0.126,0.100504742336869,0.00198377688355613,19.3251067889484,
12,24,389.639,0.026,0.00578076187397324,0.000271525276279505,18.3010842180418,
12,24,584.936,0.024,0.0315869912683883,0.00149262084567159,100,
12,27,843.76,0.03,0.00301660725109843,0.000146739685469278,9.55015697907701,567.7
12,24,974.607,0.029,0.00672071583679969,0.000317514385978415,21.2768471035913,
12,25,1003.048,0.033,0.00164552347943417,0.0000818173428869038,5.20949737014359,
12,25,1129.418,0.033,0.00898372803882229,0.000420702956216273,28.4412274739603,
12,25,1411.565,0.048,0.00131180866187926,0.0000668569817861661,4.15300289518901,
12,25,1775.114,0.066,0.00124131833490696,0.000069547686599569,3.92984037118234,
12,25,1808.616,0.059,0.0180892454314759,0.000844440621535142,57.2680230218042,
12,24,2438.418,0.088,0.00458820508131748,0.000222126583467579,14.5256160750875,
12,25,2541.26,0.099,0.00155436776143582,0.0000845754923204228,4.92091110618504,
12,24,2828.117,0.105,0.023892924124634,0.00111723626094928,75.6416586867064,
12,26,2881.516,0.112,0.00279183054335188,0.000146355511970403,8.83854533542073,
12,24,3053.85,0.117,0.00826766231832333,0.000396022594099847,26.1742634747155,
12,24,3301.29,0.129,0.00628474976471814,0.00030494304886879,19.8966394466567,
12,25,3405.913,0.149,0.00143959749635925,0.0000860770849332414,4.55756448636492,
12,24,3413.038,0.136,0.004000151058933,0.000204566513008434,12.6639192221397,
