Z,Symbol,Name,Atomic Mass (u),Density (g/cm^3),Melting Point (K),Boiling Point (K)
1,H,Hydrogen,1.00794(7),0.00008988,14.175,20.28
2,He,Helium,4.002602(2),0.0001785,n/a,4.22
3,Li,Lithium,6.941(2),0.534,453.85,1615
4,Be,Beryllium,9.012182(3),1.85,1560.15,2742
5,B,Boron,10.811(7),2.34,2573.15,4200
6,C,Carbon,12.0107(8),2.267,3948.15,4300
7,N,Nitrogen,14.0067(2),0.0012506,63.29,77.36
8,O,Oxygen,15.9994(3),0.001429,50.5,90.2
9,F,Fluorine,18.9984032(5),0.001696,53.63,85.03
10,Ne,Neon,20.1797(6),0.0008999,24.703,27.07
11,Na,Sodium,22.98976928(2),0.971,371.15,1156
12,Mg,Magnesium,24.3050(6),1.738,923.15,1363
13,Al,Aluminium,26.9815386(8),2.698,933.4,2792
14,Si,Silicon,28.0855(3),2.3296,1683.15,3538
15,P,Phosphorus,30.973762(2),1.82,317.25,553
16,S,Sulfur,32.065(5),2.067,388.51,717.8
17,Cl,Chlorine,35.453(2),0.003214,172.31,239.11
18,Ar,Argon,39.948(1),0.0017837,83.96,87.3
19,K,Potassium,39.0983(1),0.862,336.5,1032
20,Ca,Calcium,40.078(4),1.54,1112.15,1757
21,Sc,Scandium,44.955912(6),2.989,1812.15,3109
22,Ti,Titanium,47.867(1),4.54,1933.15,3560
23,V,Vanadium,50.9415(1),6.11,2175.15,3680
24,Cr,Chromium,51.9961(6),7.15,2130.15,2944
25,Mn,Manganese,54.938045(5),7.44,1519.15,2334
26,Fe,Iron,55.845(2),7.874,1808.15,3134
27,Co,Cobalt,58.933195(5),8.86,1768.15,3200
28,Ni,Nickel,58.6934(4),8.912,1726.15,3186
29,Cu,Copper,63.546(3),8.96,1357.75,2835
30,Zn,Zinc,65.38(2),7.134,692.88,1180
31,Ga,Gallium,69.723(1),5.907,302.91,2477
32,Ge,Germanium,72.64(1),5.323,1211.45,3106
33,As,Arsenic,74.92160(2),5.776,1090.15,887
34,Se,Selenium,78.96(3),4.809,494.15,958
35,Br,Bromine,79.904(1),3.122,266.05,332
36,Kr,Krypton,83.798(2),0.003733,115.93,119.93
37,Rb,Rubidium,85.4678(3),1.532,312.79,961
38,Sr,Strontium,87.62(1),2.64,1042.15,1655
39,Y,Yttrium,88.90585(2),4.469,1799.15,3609
40,Zr,Zirconium,91.224(2),6.506,2125.15,4682
41,Nb,Niobium,92.90638(2),8.57,2741.15,5017
42,Mo,Molybdenum,95.96(2),10.22,2890.15,4912
43,Tc,Technetium,[98.9063],11.5,2473.15,5150
